
 812291065=1000169|NA|ABORT|IN|INR|2898297^iibfregn^2898297^812291065|812291065|1770|Transaction Aborted|NA|NA|2022-02-14 01:54:48|NA|NA|1000169|0.00^0.00||||||||||

 812291069=1000169|NA|No Records Found|NA|NA|NA|812291069|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 812291069=1000169|NA|No Records Found|NA|NA|NA|812291069|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 812291069=1000169|NA|No Records Found|NA|NA|NA|812291069|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 812291069=1000169|NA|No Records Found|NA|NA|NA|812291069|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 812291077=1000169|NA|No Records Found|NA|NA|NA|812291077|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 812291077=1000169|NA|No Records Found|NA|NA|NA|812291077|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 812291077=1000169|NA|No Records Found|NA|NA|NA|812291077|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 812291077=1000169|NA|No Records Found|NA|NA|NA|812291077|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||
