EXAM CD|ELG PRD|PRT NO|MEMBER NO|MEMBER TYP|P/F/V/B|APP CAT|FEES|ELECT SUB|MED_CD|REMARK|SUB CD|INSTITUTE CODE|
530|999|1|100026903|O|V||-1|||Valid application exist, Attempt remaining||92|
530|999|1|100035644|A|V||-1|||Valid application exist, Attempt remaining||23|
530|999|1|100051942|O|V||-1|||Valid application exist, Attempt remaining||92|
530|999|1|100072933|O|V||-1|||Valid application exist, Attempt remaining||92|
530|999|1|100080748|O|V||-1|||Valid application exist, Attempt remaining||92|
530|999|1|100099697|O|V||-1|||Valid application exist, Attempt remaining||92|
530|999|1|200033080|O|V||-1|||Valid application exist, Attempt remaining||140|
530|999|1|200051373|O|V||-1|||Valid application exist, Attempt remaining||174|
530|999|1|200077450|O|V||-1|||Valid application exist, Attempt remaining||140|
530|999|1|400000594|O|V||-1|||Valid application exist, Attempt remaining||19|
530|999|1|400018445|O|V||-1|||Valid application exist, Attempt remaining||1128|
530|999|1|400035025|O|V||-1|||Valid application exist, Attempt remaining||161|
530|999|1|400048426|O|V||-1|||Valid application exist, Attempt remaining||762|
530|999|1|400077286|O|V||-1|||Valid application exist, Attempt remaining||147|
530|999|1|400096998|O|V||-1|||Valid application exist, Attempt remaining||161|
530|999|1|500000162|O|V||-1|||Valid application exist, Attempt remaining||76|
530|999|1|500000387|O|V||-1|||Valid application exist, Attempt remaining||76|
530|999|1|500002563|O|V||-1|||Valid application exist, Attempt remaining||139|
530|999|1|500003698|O|V||-1|||Valid application exist, Attempt remaining||161|
530|999|1|500006077|O|V||-1|||Valid application exist, Attempt remaining||19|
530|999|1|500006768|O|V||-1|||Valid application exist, Attempt remaining||174|
530|999|1|500009017|O|V||-1|||Valid application exist, Attempt remaining||1122|
530|999|1|500010563|O|V||-1|||Valid application exist, Attempt remaining||19|
530|999|1|500013029|O|V||-1|||Valid application exist, Attempt remaining||92|
530|999|1|500017794|O|V||-1|||Valid application exist, Attempt remaining||1139|
530|999|1|500018324|O|V||-1|||Valid application exist, Attempt remaining||1139|
530|999|1|500019220|O|V||-1|||Valid application exist, Attempt remaining||19|
530|999|1|500019837|O|V||-1|||Valid application exist, Attempt remaining||92|
530|999|1|500019851|O|V||-1|||Valid application exist, Attempt remaining||92|
530|999|1|500021294|O|V||-1|||Valid application exist, Attempt remaining||174|
530|999|1|500023715|O|V||-1|||Valid application exist, Attempt remaining||174|
530|999|1|500026746|O|V||-1|||Valid application exist, Attempt remaining||92|
530|999|1|500027074|O|V||-1|||Valid application exist, Attempt remaining||76|
530|999|1|500028877|O|V||-1|||Valid application exist, Attempt remaining||92|
530|999|1|500029960|O|V||-1|||Valid application exist, Attempt remaining||64|
530|999|1|500030110|O|V||-1|||Valid application exist, Attempt remaining||159|
530|999|1|500032763|O|V||-1|||Valid application exist, Attempt remaining||97|
530|999|1|500033187|O|V||-1|||Valid application exist, Attempt remaining||161|
530|999|1|500035952|O|V||-1|||Valid application exist, Attempt remaining||92|
530|999|1|500036033|O|V||-1|||Valid application exist, Attempt remaining||1122|
530|999|1|500039227|O|V||-1|||Valid application exist, Attempt remaining||2750|
530|999|1|500040061|O|V||-1|||Valid application exist, Attempt remaining||92|
530|999|1|500041461|O|V||-1|||Valid application exist, Attempt remaining||19|
530|999|1|500041900|O|V||-1|||Valid application exist, Attempt remaining||64|
530|999|1|500043380|O|V||-1|||Valid application exist, Attempt remaining||161|
530|999|1|500043879|O|V||-1|||Valid application exist, Attempt remaining||92|
530|999|1|500044330|O|V||-1|||Valid application exist, Attempt remaining||92|
530|999|1|500045673|O|V||-1|||Valid application exist, Attempt remaining||159|
530|999|1|500046293|O|V||-1|||Valid application exist, Attempt remaining||19|
530|999|1|500049204|O|V||-1|||Valid application exist, Attempt remaining||92|
530|999|1|500049706|O|V||-1|||Valid application exist, Attempt remaining||161|
530|999|1|500052702|O|V||-1|||Valid application exist, Attempt remaining||92|
530|999|1|500052968|O|V||-1|||Valid application exist, Attempt remaining||76|
530|999|1|500052991|O|V||-1|||Valid application exist, Attempt remaining||19|
530|999|1|500052992|O|V||-1|||Valid application exist, Attempt remaining||19|
530|999|1|500054599|O|V||-1|||Valid application exist, Attempt remaining||92|
530|999|1|500056991|O|V||-1|||Valid application exist, Attempt remaining||78|
530|999|1|500058220|O|V||-1|||Valid application exist, Attempt remaining||762|
530|999|1|500059067|O|V||-1|||Valid application exist, Attempt remaining||161|
530|999|1|500061044|O|V||-1|||Valid application exist, Attempt remaining||762|
530|999|1|500062671|O|V||-1|||Valid application exist, Attempt remaining||19|
530|999|1|500064744|O|V||-1|||Valid application exist, Attempt remaining||92|
530|999|1|500075125|O|V||-1|||Valid application exist, Attempt remaining||1139|
530|999|1|500081221|O|V||-1|||Valid application exist, Attempt remaining||174|
530|999|1|500081263|O|V||-1|||Valid application exist, Attempt remaining||49|
530|999|1|500082656|O|V||-1|||Valid application exist, Attempt remaining||23|
530|999|1|500087066|O|V||-1|||Valid application exist, Attempt remaining||78|
530|999|1|500088762|O|V||-1|||Valid application exist, Attempt remaining||92|
530|999|1|500095800|O|V||-1|||Valid application exist, Attempt remaining||76|
530|999|1|500097479|O|V||-1|||Valid application exist, Attempt remaining||92|
530|999|1|500097757|O|V||-1|||Valid application exist, Attempt remaining||92|
530|999|1|500100605|O|V||-1|||Valid application exist, Attempt remaining||92|
530|999|1|500100855|O|V||-1|||Valid application exist, Attempt remaining||1139|
530|999|1|500102140|O|V||-1|||Valid application exist, Attempt remaining||76|
530|999|1|500102293|O|V||-1|||Valid application exist, Attempt remaining||76|
530|999|1|500105184|O|V||-1|||Valid application exist, Attempt remaining||92|
530|999|1|500111022|O|V||-1|||Valid application exist, Attempt remaining||92|
530|999|1|500114678|O|V||-1|||Valid application exist, Attempt remaining||92|
530|999|1|500117819|O|V||-1|||Valid application exist, Attempt remaining||161|
530|999|1|500120319|O|V||-1|||Valid application exist, Attempt remaining||92|
530|999|1|500123678|O|V||-1|||Valid application exist, Attempt remaining||19|
530|999|1|500125213|O|V||-1|||Valid application exist, Attempt remaining||92|
530|999|1|500129282|O|V||-1|||Valid application exist, Attempt remaining||1446|
530|999|1|500130670|O|V||-1|||Valid application exist, Attempt remaining||78|
530|999|1|500132604|O|V||-1|||Valid application exist, Attempt remaining||92|
530|999|1|500133717|O|V||-1|||Valid application exist, Attempt remaining||64|
530|999|1|500138468|O|V||-1|||Valid application exist, Attempt remaining||46|
530|999|1|500141042|O|V||-1|||Valid application exist, Attempt remaining||174|
530|999|1|500141084|O|V||-1|||Valid application exist, Attempt remaining||140|
530|999|1|500141887|O|V||-1|||Valid application exist, Attempt remaining||19|
530|999|1|500149813|O|V||-1|||Valid application exist, Attempt remaining||159|
530|999|1|500151332|O|V||-1|||Valid application exist, Attempt remaining||59|
530|999|1|500151849|O|V||-1|||Valid application exist, Attempt remaining||46|
530|999|1|500152339|O|V||-1|||Valid application exist, Attempt remaining||46|
530|999|1|500152471|O|V||-1|||Valid application exist, Attempt remaining||19|
530|999|1|500153768|O|V||-1|||Valid application exist, Attempt remaining||161|
530|999|1|500154494|O|V||-1|||Valid application exist, Attempt remaining||19|
530|999|1|500154610|O|V||-1|||Valid application exist, Attempt remaining||762|
530|999|1|500155729|O|V||-1|||Valid application exist, Attempt remaining||161|
530|999|1|500156966|O|V||-1|||Valid application exist, Attempt remaining||92|
530|999|1|500157183|O|V||-1|||Valid application exist, Attempt remaining||762|
530|999|1|500157231|O|V||-1|||Valid application exist, Attempt remaining||92|
530|999|1|500158572|O|V||-1|||Valid application exist, Attempt remaining||92|
530|999|1|500159894|O|V||-1|||Valid application exist, Attempt remaining||19|
530|999|1|500160401|O|V||-1|||Valid application exist, Attempt remaining||46|
530|999|1|500160538|O|V||-1|||Valid application exist, Attempt remaining||92|
530|999|1|500165232|O|V||-1|||Valid application exist, Attempt remaining||19|
530|999|1|500166267|O|V||-1|||Valid application exist, Attempt remaining||19|
530|999|1|500166816|O|V||-1|||Valid application exist, Attempt remaining||201|
530|999|1|500169665|O|V||-1|||Valid application exist, Attempt remaining||159|
530|999|1|500170866|O|V||-1|||Valid application exist, Attempt remaining||76|
530|999|1|500171295|O|V||-1|||Valid application exist, Attempt remaining||19|
530|999|1|500175890|O|V||-1|||Valid application exist, Attempt remaining||92|
530|999|1|500176388|O|V||-1|||Valid application exist, Attempt remaining||19|
530|999|1|500176722|O|V||-1|||Valid application exist, Attempt remaining||92|
530|999|1|500177197|O|V||-1|||Valid application exist, Attempt remaining||140|
530|999|1|500179736|O|V||-1|||Valid application exist, Attempt remaining||92|
530|999|1|500182258|O|V||-1|||Valid application exist, Attempt remaining||97|
530|999|1|500183709|O|V||-1|||Valid application exist, Attempt remaining||19|
530|999|1|500185108|O|V||-1|||Valid application exist, Attempt remaining||78|
530|999|1|500185437|O|V||-1|||Valid application exist, Attempt remaining||92|
530|999|1|500185988|O|V||-1|||Valid application exist, Attempt remaining||139|
530|999|1|500188399|O|V||-1|||Valid application exist, Attempt remaining||140|
530|999|1|500189533|O|V||-1|||Valid application exist, Attempt remaining||159|
530|999|1|500190101|O|V||-1|||Valid application exist, Attempt remaining||19|
530|999|1|500192038|O|V||-1|||Valid application exist, Attempt remaining||139|
530|999|1|500193206|O|V||-1|||Valid application exist, Attempt remaining||78|
530|999|1|500200188|O|V||-1|||Valid application exist, Attempt remaining||19|
530|999|1|500207794|O|V||-1|||Valid application exist, Attempt remaining||1298|
530|999|1|500210146|O|V||-1|||Valid application exist, Attempt remaining||161|
530|999|1|500211902|O|V||-1|||Valid application exist, Attempt remaining||92|
530|999|1|500214774|O|V||-1|||Valid application exist, Attempt remaining||174|
530|999|1|510001243|O|V||-1|||Valid application exist, Attempt remaining||174|
530|999|1|510001742|O|V||-1|||Valid application exist, Attempt remaining||174|
530|999|1|510013517|O|V||-1|||Valid application exist, Attempt remaining||1441|
530|999|1|510014220|O|V||-1|||Valid application exist, Attempt remaining||1122|
530|999|1|510018778|O|V||-1|||Valid application exist, Attempt remaining||19|
530|999|1|510028909|O|V||-1|||Valid application exist, Attempt remaining||176|
530|999|1|510031733|O|V||-1|||Valid application exist, Attempt remaining||19|
530|999|1|510033515|O|V||-1|||Valid application exist, Attempt remaining||92|
530|999|1|510034874|O|V||-1|||Valid application exist, Attempt remaining||19|
530|999|1|510036293|O|V||-1|||Valid application exist, Attempt remaining||92|
530|999|1|510036313|O|V||-1|||Valid application exist, Attempt remaining||92|
530|999|1|510036582|O|V||-1|||Valid application exist, Attempt remaining||76|
530|999|1|510038206|O|V||-1|||Valid application exist, Attempt remaining||174|
