EXAM CD|ELG PRD|PRT NO|MEMBER NO|MEMBER TYP|P/F/V/B|APP CAT|FEES|ELECT SUB|MED_CD|REMARK|SUB CD|INSTITUTE CODE|
1047|19|1|510531627|O|V||-1|||Valid application exist, Attempt remaining||166|
1047|19|1|510575723|O|V||-1|||Valid application exist, Attempt remaining||166|
1047|19|1|510632352|O|V||-1|||Valid application exist, Attempt remaining||139|
1047|19|1|510676796|O|V||-1|||Valid application exist, Attempt remaining||174|
1047|19|1|510677054|O|V||-1|||Valid application exist, Attempt remaining||174|
1047|19|1|510677148|O|V||-1|||Valid application exist, Attempt remaining||174|
1047|19|1|510677153|O|V||-1|||Valid application exist, Attempt remaining||174|
1047|19|1|510677180|O|V||-1|||Valid application exist, Attempt remaining||174|
1047|19|1|510677182|O|V||-1|||Valid application exist, Attempt remaining||174|
1047|19|1|510677187|O|V||-1|||Valid application exist, Attempt remaining||174|
1047|19|1|510677386|O|V||-1|||Valid application exist, Attempt remaining||174|
1047|19|1|801241949|NM|V||-1|||Valid application exist, Attempt remaining||0|
1047|19|1|801261932|NM|V||-1|||Valid application exist, Attempt remaining||0|
1047|19|1|801261935|NM|V||-1|||Valid application exist, Attempt remaining||0|
1047|19|1|801261995|NM|V||-1|||Valid application exist, Attempt remaining||0|
1047|19|1|801441352|NM|V||-1|||Valid application exist, Attempt remaining||0|
1047|19|1|801474113|NM|V||-1|||Valid application exist, Attempt remaining||0|
1047|19|1|801594599|NM|V||-1|||Valid application exist, Attempt remaining||0|
1047|19|1|801596912|NM|V||-1|||Valid application exist, Attempt remaining||0|
1047|19|1|801641163|NM|V||-1|||Valid application exist, Attempt remaining||0|
1047|19|1|801655480|NM|V||-1|||Valid application exist, Attempt remaining||0|
1047|19|1|801686376|NM|V||-1|||Valid application exist, Attempt remaining||0|
1047|19|1|801707401|NM|V||-1|||Valid application exist, Attempt remaining||0|
1047|19|1|801710192|NM|V||-1|||Valid application exist, Attempt remaining||0|
1047|19|1|801731468|NM|V||-1|||Valid application exist, Attempt remaining||0|
1047|19|1|801767259|NM|V||-1|||Valid application exist, Attempt remaining||0|
1047|19|1|801804405|NM|V||-1|||Valid application exist, Attempt remaining||0|
1047|19|1|801849790|NM|V||-1|||Valid application exist, Attempt remaining||0|
1047|19|1|801849876|NM|V||-1|||Valid application exist, Attempt remaining||0|
1047|19|1|801896236|NM|V||-1|||Valid application exist, Attempt remaining||0|
1047|19|1|801901604|NM|V||-1|||Valid application exist, Attempt remaining||0|
1047|19|1|801948506|NM|V||-1|||Valid application exist, Attempt remaining||0|
1047|19|1|801990724|NM|V||-1|||Valid application exist, Attempt remaining||0|
1047|19|1|801995566|NM|V||-1|||Valid application exist, Attempt remaining||0|
1047|19|1|802011545|NM|V||-1|||Valid application exist, Attempt remaining||0|
1047|19|1|802015116|NM|V||-1|||Valid application exist, Attempt remaining||0|
1047|19|1|802020031|NM|V||-1|||Valid application exist, Attempt remaining||0|
1047|19|1|802026971|NM|V||-1|||Valid application exist, Attempt remaining||0|
1047|19|1|802089253|NM|V||-1|||Valid application exist, Attempt remaining||0|
1047|19|1|802092653|NM|V||-1|||Valid application exist, Attempt remaining||0|
1047|19|1|802104234|NM|V||-1|||Valid application exist, Attempt remaining||0|
1047|19|1|802106758|NM|V||-1|||Valid application exist, Attempt remaining||0|
1047|19|1|802142238|NM|V||-1|||Valid application exist, Attempt remaining||0|
1047|19|1|802178732|NM|V||-1|||Valid application exist, Attempt remaining||0|
1047|19|1|802182145|NM|V||-1|||Valid application exist, Attempt remaining||0|
1047|19|1|802184056|NM|V||-1|||Valid application exist, Attempt remaining||0|
1047|19|1|802209288|NM|V||-1|||Valid application exist, Attempt remaining||0|
1047|19|1|802227289|NM|V||-1|||Valid application exist, Attempt remaining||0|
1047|19|1|802228684|NM|V||-1|||Valid application exist, Attempt remaining||0|
1047|19|1|802249622|NM|V||-1|||Valid application exist, Attempt remaining||0|
1047|19|1|802261674|NM|V||-1|||Valid application exist, Attempt remaining||0|
1047|19|1|802275879|NM|V||-1|||Valid application exist, Attempt remaining||0|
1047|19|1|802303730|NM|V||-1|||Valid application exist, Attempt remaining||0|
1047|19|1|802311198|NM|V||-1|||Valid application exist, Attempt remaining||0|
1047|19|1|802354276|NM|V||-1|||Valid application exist, Attempt remaining||0|
1047|19|1|802412540|NM|V||-1|||Valid application exist, Attempt remaining||0|
1047|19|1|802419888|NM|V||-1|||Valid application exist, Attempt remaining||0|
1047|19|1|802464704|NM|V||-1|||Valid application exist, Attempt remaining||0|
1047|19|1|802483914|NM|V||-1|||Valid application exist, Attempt remaining||0|
1047|19|1|802484456|NM|V||-1|||Valid application exist, Attempt remaining||0|
1047|19|1|802484533|NM|V||-1|||Valid application exist, Attempt remaining||0|
1047|19|1|802499430|NM|V||-1|||Valid application exist, Attempt remaining||0|
1047|19|1|802504733|NM|V||-1|||Valid application exist, Attempt remaining||0|
1047|19|1|802506345|NM|V||-1|||Valid application exist, Attempt remaining||0|
1047|19|1|802508137|NM|V||-1|||Valid application exist, Attempt remaining||0|
1047|19|1|802516741|NM|V||-1|||Valid application exist, Attempt remaining||0|
1047|19|1|802529778|NM|V||-1|||Valid application exist, Attempt remaining||0|
1047|19|1|802567402|NM|V||-1|||Valid application exist, Attempt remaining||0|
1047|19|1|802569014|NM|V||-1|||Valid application exist, Attempt remaining||0|
1047|19|1|802574914|NM|V||-1|||Valid application exist, Attempt remaining||0|
1047|19|1|802659424|NM|V||-1|||Valid application exist, Attempt remaining||0|
1047|19|1|802659484|NM|V||-1|||Valid application exist, Attempt remaining||0|
1047|19|1|802659777|NM|V||-1|||Valid application exist, Attempt remaining||0|
1047|19|1|802659912|NM|V||-1|||Valid application exist, Attempt remaining||0|
1047|19|1|802661170|NM|V||-1|||Valid application exist, Attempt remaining||0|
1047|19|1|802661381|NM|V||-1|||Valid application exist, Attempt remaining||0|
