EXM_CD|EXM_PRD|PRT_NO|SYL_CD|MEM_CATEGORY|GRP_CD|FEE_AMT|SGST_AMT|CGST_AMT|IGST_AMT|CS_TOT|IGST_TOT|FRM_DATE|TO_DATE|EXEMPT
157|926|1|R|O|B1_1|1100|99.0|99.0|198.0|1298.0|1298.0|2025-10-01|2025-10-07|NE
157|926|1|R|O|S1|1100|99.0|99.0|198.0|1298.0|1298.0|2025-10-01|2025-10-07|NE
157|926|1|R|F|B1_1|1100|99.0|99.0|198.0|1298.0|1298.0|2025-10-01|2025-10-07|NE
157|926|1|R|F|S1|1100|99.0|99.0|198.0|1298.0|1298.0|2025-10-01|2025-10-07|NE
157|926|1|R|A|B1_1|1100|99.0|99.0|198.0|1298.0|1298.0|2025-10-01|2025-10-07|NE
157|926|1|R|A|S1|1100|99.0|99.0|198.0|1298.0|1298.0|2025-10-01|2025-10-07|NE
157|926|1|R|NM|B1_1|1600|144.0|144.0|288.0|1888.0|1888.0|2025-10-01|2025-10-07|NE
157|926|1|R|NM|S1|1600|144.0|144.0|288.0|1888.0|1888.0|2025-10-01|2025-10-07|NE
157|926|1|R|O|B1_1|1200|108.0|108.0|216.0|1416.0|1416.0|2025-10-08|2025-10-14|NE
157|926|1|R|O|S1|1200|108.0|108.0|216.0|1416.0|1416.0|2025-10-08|2025-10-14|NE
157|926|1|R|F|B1_1|1200|108.0|108.0|216.0|1416.0|1416.0|2025-10-08|2025-10-14|NE
157|926|1|R|F|S1|1200|108.0|108.0|216.0|1416.0|1416.0|2025-10-08|2025-10-14|NE
157|926|1|R|A|B1_1|1200|108.0|108.0|216.0|1416.0|1416.0|2025-10-08|2025-10-14|NE
157|926|1|R|A|S1|1200|108.0|108.0|216.0|1416.0|1416.0|2025-10-08|2025-10-14|NE
157|926|1|R|NM|B1_1|1700|153.0|153.0|306.0|2006.0|2006.0|2025-10-08|2025-10-14|NE
157|926|1|R|A|B1_1|1300|117.0|117.0|234.0|1534.0|1534.0|2025-10-15|2025-11-04|NE
157|926|1|R|A|S1|1300|117.0|117.0|234.0|1534.0|1534.0|2025-10-15|2025-11-04|NE
157|926|1|R|NM|B1_1|1800|162.0|162.0|324.0|2124.0|2124.0|2025-10-15|2025-11-04|NE
157|926|1|R|NM|S1|1800|162.0|162.0|324.0|2124.0|2124.0|2025-10-15|2025-11-04|NE
157|926|1|R|NM|S1|1700|153.0|153.0|306.0|2006.0|2006.0|2025-10-08|2025-10-14|NE
157|926|1|R|O|B1_1|1300|117.0|117.0|234.0|1534.0|1534.0|2025-10-15|2025-11-04|NE
157|926|1|R|O|S1|1300|117.0|117.0|234.0|1534.0|1534.0|2025-10-15|2025-11-04|NE
157|926|1|R|F|B1_1|1300|117.0|117.0|234.0|1534.0|1534.0|2025-10-15|2025-11-04|NE
157|926|1|R|F|S1|1300|117.0|117.0|234.0|1534.0|1534.0|2025-10-15|2025-11-04|NE
