EXAM CD|ELG PRD|PRT NO|MEMBER NO|MEMBER TYP|P/F/V/B|APP CAT|FEES|ELECT SUB|MED_CD|REMARK|SUB CD|INSTITUTE CODE|
1051|825|1|100032901|O|V||-1|||Valid application exist, Attempt remaining||140|
1051|825|1|200033384|O|V||-1|||Valid application exist, Attempt remaining||140|
1051|825|1|500001812|O|V||-1|||Valid application exist, Attempt remaining||140|
1051|825|1|500138348|O|V||-1|||Valid application exist, Attempt remaining||140|
1051|825|1|500152875|O|V||-1|||Valid application exist, Attempt remaining||140|
1051|825|1|500154762|O|V||-1|||Valid application exist, Attempt remaining||140|
1051|825|1|500166187|O|V||-1|||Valid application exist, Attempt remaining||140|
1051|825|1|500179141|O|V||-1|||Valid application exist, Attempt remaining||140|
1051|825|1|500214739|O|V||-1|||Valid application exist, Attempt remaining||140|
1051|825|1|510024297|O|V||-1|||Valid application exist, Attempt remaining||140|
1051|825|1|510034281|O|V||-1|||Valid application exist, Attempt remaining||140|
1051|825|1|510060996|O|V||-1|||Valid application exist, Attempt remaining||140|
1051|825|1|510067367|O|V||-1|||Valid application exist, Attempt remaining||140|
1051|825|1|510070236|O|V||-1|||Valid application exist, Attempt remaining||140|
1051|825|1|510093759|O|V||-1|||Valid application exist, Attempt remaining||140|
1051|825|1|510119864|O|V||-1|||Valid application exist, Attempt remaining||140|
1051|825|1|510134012|O|V||-1|||Valid application exist, Attempt remaining||140|
1051|825|1|510141975|O|V||-1|||Valid application exist, Attempt remaining||140|
1051|825|1|510144628|O|V||-1|||Valid application exist, Attempt remaining||140|
1051|825|1|510161477|O|V||-1|||Valid application exist, Attempt remaining||140|
1051|825|1|510167271|O|V||-1|||Valid application exist, Attempt remaining||140|
1051|825|1|510188671|O|V||-1|||Valid application exist, Attempt remaining||140|
1051|825|1|510190209|O|V||-1|||Valid application exist, Attempt remaining||140|
1051|825|1|510204461|O|V||-1|||Valid application exist, Attempt remaining||140|
1051|825|1|510224047|O|V||-1|||Valid application exist, Attempt remaining||140|
1051|825|1|510230380|O|V||-1|||Valid application exist, Attempt remaining||140|
1051|825|1|510237146|O|V||-1|||Valid application exist, Attempt remaining||140|
1051|825|1|510241488|O|V||-1|||Valid application exist, Attempt remaining||140|
1051|825|1|510263627|O|V||-1|||Valid application exist, Attempt remaining||140|
1051|825|1|510275578|O|V||-1|||Valid application exist, Attempt remaining||140|
1051|825|1|510285897|O|V||-1|||Valid application exist, Attempt remaining||140|
1051|825|1|510286857|O|V||-1|||Valid application exist, Attempt remaining||140|
1051|825|1|510302802|O|V||-1|||Valid application exist, Attempt remaining||140|
1051|825|1|510314392|O|V||-1|||Valid application exist, Attempt remaining||140|
1051|825|1|510316157|O|V||-1|||Valid application exist, Attempt remaining||140|
1051|825|1|510318965|O|V||-1|||Valid application exist, Attempt remaining||140|
1051|825|1|510319949|O|V||-1|||Valid application exist, Attempt remaining||140|
1051|825|1|510335173|O|V||-1|||Valid application exist, Attempt remaining||140|
1051|825|1|510348151|O|V||-1|||Valid application exist, Attempt remaining||140|
1051|825|1|510349231|O|V||-1|||Valid application exist, Attempt remaining||140|
1051|825|1|510349272|O|V||-1|||Valid application exist, Attempt remaining||140|
1051|825|1|510399148|O|V||-1|||Valid application exist, Attempt remaining||140|
1051|825|1|510409701|O|V||-1|||Valid application exist, Attempt remaining||140|
1051|825|1|510456638|O|V||-1|||Valid application exist, Attempt remaining||140|
1051|825|1|510474203|O|V||-1|||Valid application exist, Attempt remaining||140|
1051|825|1|510479872|O|V||-1|||Valid application exist, Attempt remaining||140|
1051|825|1|510487840|O|V||-1|||Valid application exist, Attempt remaining||140|
1051|825|1|510511447|O|V||-1|||Valid application exist, Attempt remaining||140|
1051|825|1|510513927|O|V||-1|||Valid application exist, Attempt remaining||140|
1051|825|1|510542838|O|V||-1|||Valid application exist, Attempt remaining||140|
1051|825|1|510553569|O|V||-1|||Valid application exist, Attempt remaining||140|
1051|825|1|510553681|O|V||-1|||Valid application exist, Attempt remaining||140|
1051|825|1|510553905|O|V||-1|||Valid application exist, Attempt remaining||140|
1051|825|1|510559312|O|V||-1|||Valid application exist, Attempt remaining||140|
1051|825|1|510559644|O|V||-1|||Valid application exist, Attempt remaining||140|
1051|825|1|510559935|O|V||-1|||Valid application exist, Attempt remaining||140|
1051|825|1|510560692|O|V||-1|||Valid application exist, Attempt remaining||140|
1051|825|1|510561887|O|V||-1|||Valid application exist, Attempt remaining||140|
1051|825|1|510562125|O|V||-1|||Valid application exist, Attempt remaining||140|
1051|825|1|510562708|O|V||-1|||Valid application exist, Attempt remaining||140|
1051|825|1|510566399|O|V||-1|||Valid application exist, Attempt remaining||140|
1051|825|1|510579240|O|V||-1|||Valid application exist, Attempt remaining||140|
1051|825|1|510611165|O|V||-1|||Valid application exist, Attempt remaining||140|
1051|825|1|510632485|O|V||-1|||Valid application exist, Attempt remaining||140|
1051|825|1|510634356|O|V||-1|||Valid application exist, Attempt remaining||140|
1051|825|1|510635358|O|V||-1|||Valid application exist, Attempt remaining||140|
1051|825|1|510635547|O|V||-1|||Valid application exist, Attempt remaining||140|
1051|825|1|510644604|O|V||-1|||Valid application exist, Attempt remaining||140|
1051|825|1|510650731|O|V||-1|||Valid application exist, Attempt remaining||140|
1051|825|1|510651255|O|V||-1|||Valid application exist, Attempt remaining||140|
1051|825|1|510656058|O|V||-1|||Valid application exist, Attempt remaining||140|
1051|825|1|510657582|O|V||-1|||Valid application exist, Attempt remaining||140|
1051|825|1|510673848|O|V||-1|||Valid application exist, Attempt remaining||140|
1051|825|1|510675725|O|V||-1|||Valid application exist, Attempt remaining||140|
1051|825|1|510676388|O|V||-1|||Valid application exist, Attempt remaining||140|
1051|825|1|510676533|O|V||-1|||Valid application exist, Attempt remaining||140|
1051|825|1|510676544|O|V||-1|||Valid application exist, Attempt remaining||140|
1051|825|1|7191746|O|V||-1|||Valid application exist, Attempt remaining||140|
1051|825|1|7452619|O|V||-1|||Valid application exist, Attempt remaining||140|
1051|825|1|802903847|NM|V||-1|||Valid application exist, Attempt remaining||0|
1051|825|1|100011858|O|P||-1|||You have already passed this exam||140|
1051|825|1|100054793|O|P||-1|||You have already passed this exam||140|
1051|825|1|100063630|O|P||-1|||You have already passed this exam||140|
1051|825|1|100069590|O|P||-1|||You have already passed this exam||140|
1051|825|1|200001148|O|P||-1|||You have already passed this exam||140|
1051|825|1|200002520|O|P||-1|||You have already passed this exam||140|
1051|825|1|200011350|O|P||-1|||You have already passed this exam||140|
1051|825|1|200012482|O|P||-1|||You have already passed this exam||140|
1051|825|1|200014880|O|P||-1|||You have already passed this exam||140|
1051|825|1|200016356|O|P||-1|||You have already passed this exam||140|
1051|825|1|200016516|O|P||-1|||You have already passed this exam||140|
1051|825|1|200016534|O|P||-1|||You have already passed this exam||140|
1051|825|1|200021893|O|P||-1|||You have already passed this exam||140|
1051|825|1|200023600|O|P||-1|||You have already passed this exam||140|
1051|825|1|200024330|O|P||-1|||You have already passed this exam||140|
1051|825|1|200025749|O|P||-1|||You have already passed this exam||140|
1051|825|1|200027734|O|P||-1|||You have already passed this exam||140|
1051|825|1|200028821|O|P||-1|||You have already passed this exam||140|
1051|825|1|200030032|O|P||-1|||You have already passed this exam||140|
1051|825|1|200032019|O|P||-1|||You have already passed this exam||140|
1051|825|1|200032387|O|P||-1|||You have already passed this exam||140|
1051|825|1|200034499|O|P||-1|||You have already passed this exam||140|
1051|825|1|200034551|O|P||-1|||You have already passed this exam||140|
1051|825|1|200035478|O|P||-1|||You have already passed this exam||140|
1051|825|1|200036377|O|P||-1|||You have already passed this exam||140|
1051|825|1|200046014|O|P||-1|||You have already passed this exam||140|
1051|825|1|200048144|O|P||-1|||You have already passed this exam||140|
1051|825|1|200051275|O|P||-1|||You have already passed this exam||140|
1051|825|1|200057054|O|P||-1|||You have already passed this exam||140|
1051|825|1|200057761|O|P||-1|||You have already passed this exam||140|
1051|825|1|200070207|O|P||-1|||You have already passed this exam||140|
1051|825|1|200073737|O|P||-1|||You have already passed this exam||140|
1051|825|1|200075132|O|P||-1|||You have already passed this exam||140|
1051|825|1|200077155|O|P||-1|||You have already passed this exam||140|
1051|825|1|200080508|O|P||-1|||You have already passed this exam||140|
1051|825|1|200081265|O|P||-1|||You have already passed this exam||140|
1051|825|1|300002701|O|P||-1|||You have already passed this exam||140|
1051|825|1|300020208|O|P||-1|||You have already passed this exam||140|
1051|825|1|300025017|O|P||-1|||You have already passed this exam||140|
1051|825|1|400033700|O|P||-1|||You have already passed this exam||140|
1051|825|1|400042253|O|P||-1|||You have already passed this exam||140|
1051|825|1|400050621|O|P||-1|||You have already passed this exam||140|
1051|825|1|400071729|O|P||-1|||You have already passed this exam||140|
1051|825|1|400076476|O|P||-1|||You have already passed this exam||140|
1051|825|1|400076707|O|P||-1|||You have already passed this exam||140|
1051|825|1|400089760|O|P||-1|||You have already passed this exam||140|
1051|825|1|500000675|O|P||-1|||You have already passed this exam||140|
1051|825|1|500001018|O|P||-1|||You have already passed this exam||140|
1051|825|1|500001685|O|P||-1|||You have already passed this exam||140|
1051|825|1|500001861|O|P||-1|||You have already passed this exam||140|
1051|825|1|500005508|O|P||-1|||You have already passed this exam||140|
1051|825|1|500006714|O|P||-1|||You have already passed this exam||140|
1051|825|1|500007020|O|P||-1|||You have already passed this exam||140|
1051|825|1|500007195|O|P||-1|||You have already passed this exam||140|
1051|825|1|500008668|O|P||-1|||You have already passed this exam||140|
1051|825|1|500008796|O|P||-1|||You have already passed this exam||140|
1051|825|1|500009600|O|P||-1|||You have already passed this exam||140|
1051|825|1|500011337|O|P||-1|||You have already passed this exam||140|
1051|825|1|500012042|O|P||-1|||You have already passed this exam||140|
1051|825|1|500012724|O|P||-1|||You have already passed this exam||140|
1051|825|1|500014434|O|P||-1|||You have already passed this exam||140|
1051|825|1|500014526|O|P||-1|||You have already passed this exam||140|
1051|825|1|500015637|O|P||-1|||You have already passed this exam||140|
1051|825|1|500017563|O|P||-1|||You have already passed this exam||140|
1051|825|1|500017630|O|P||-1|||You have already passed this exam||140|
1051|825|1|500017872|O|P||-1|||You have already passed this exam||140|
1051|825|1|500018195|O|P||-1|||You have already passed this exam||140|
