EXAM CD|ELG PRD|PRT NO|MEMBER NO|MEMBER TYP|P/F/V/B|APP CAT|FEES|ELECT SUB|MED_CD|REMARK|SUB CD|
1006|826|1|100094903|NM|P||-1|||You have already passed this exam||
1006|826|1|200015671|NM|P||-1|||You have already passed this exam||
1006|826|1|200038569|NM|P||-1|||You have already passed this exam||
1006|826|1|400078130|NM|P||-1|||You have already passed this exam||
1006|826|1|400078158|NM|P||-1|||You have already passed this exam||
1006|826|1|400078775|NM|P||-1|||You have already passed this exam||
1006|826|1|400081805|NM|P||-1|||You have already passed this exam||
1006|826|1|500000688|NM|P||-1|||You have already passed this exam||
1006|826|1|500009316|NM|P||-1|||You have already passed this exam||
1006|826|1|500045601|NM|P||-1|||You have already passed this exam||
1006|826|1|500052609|NM|P||-1|||You have already passed this exam||
1006|826|1|500077986|NM|P||-1|||You have already passed this exam||
1006|826|1|500081870|NM|P||-1|||You have already passed this exam||
1006|826|1|500082280|NM|P||-1|||You have already passed this exam||
1006|826|1|500097759|NM|P||-1|||You have already passed this exam||
1006|826|1|500119925|NM|P||-1|||You have already passed this exam||
1006|826|1|500132167|NM|P||-1|||You have already passed this exam||
1006|826|1|500138674|O|P||-1|||You have already passed this exam||
1006|826|1|500161843|NM|P||-1|||You have already passed this exam||
1006|826|1|500162525|NM|P||-1|||You have already passed this exam||
1006|826|1|500163048|NM|P||-1|||You have already passed this exam||
1006|826|1|500174245|NM|P||-1|||You have already passed this exam||
1006|826|1|500188873|NM|P||-1|||You have already passed this exam||
1006|826|1|500204112|NM|P||-1|||You have already passed this exam||
1006|826|1|510069110|NM|P||-1|||You have already passed this exam||
1006|826|1|510077227|NM|P||-1|||You have already passed this exam||
1006|826|1|510091291|NM|P||-1|||You have already passed this exam||
1006|826|1|510096028|NM|P||-1|||You have already passed this exam||
1006|826|1|510105306|NM|P||-1|||You have already passed this exam||
1006|826|1|510173220|NM|P||-1|||You have already passed this exam||
1006|826|1|510180468|NM|P||-1|||You have already passed this exam||
1006|826|1|510190846|NM|P||-1|||You have already passed this exam||
1006|826|1|510212926|NM|P||-1|||You have already passed this exam||
1006|826|1|510222199|NM|P||-1|||You have already passed this exam||
1006|826|1|510224100|NM|P||-1|||You have already passed this exam||
1006|826|1|510243376|NM|P||-1|||You have already passed this exam||
1006|826|1|510259433|NM|P||-1|||You have already passed this exam||
1006|826|1|510266065|NM|P||-1|||You have already passed this exam||
1006|826|1|510280823|NM|P||-1|||You have already passed this exam||
1006|826|1|510283336|NM|P||-1|||You have already passed this exam||
1006|826|1|510285446|NM|P||-1|||You have already passed this exam||
1006|826|1|510288185|NM|P||-1|||You have already passed this exam||
1006|826|1|510288640|NM|P||-1|||You have already passed this exam||
1006|826|1|510289794|NM|P||-1|||You have already passed this exam||
1006|826|1|510299635|NM|P||-1|||You have already passed this exam||
1006|826|1|510306263|NM|P||-1|||You have already passed this exam||
1006|826|1|510309261|NM|P||-1|||You have already passed this exam||
1006|826|1|510323045|NM|P||-1|||You have already passed this exam||
1006|826|1|510330675|NM|P||-1|||You have already passed this exam||
1006|826|1|510333759|NM|P||-1|||You have already passed this exam||
1006|826|1|510340574|NM|P||-1|||You have already passed this exam||
1006|826|1|510342068|NM|P||-1|||You have already passed this exam||
1006|826|1|510343370|NM|P||-1|||You have already passed this exam||
1006|826|1|510348194|NM|P||-1|||You have already passed this exam||
1006|826|1|510357596|NM|P||-1|||You have already passed this exam||
1006|826|1|510361669|NM|P||-1|||You have already passed this exam||
1006|826|1|510361893|NM|P||-1|||You have already passed this exam||
1006|826|1|510362430|NM|P||-1|||You have already passed this exam||
1006|826|1|510365751|NM|P||-1|||You have already passed this exam||
1006|826|1|510371736|NM|P||-1|||You have already passed this exam||
1006|826|1|510377245|NM|P||-1|||You have already passed this exam||
1006|826|1|510385518|NM|P||-1|||You have already passed this exam||
1006|826|1|510386135|NM|P||-1|||You have already passed this exam||
1006|826|1|510387052|NM|P||-1|||You have already passed this exam||
1006|826|1|510402527|NM|P||-1|||You have already passed this exam||
1006|826|1|510410586|NM|P||-1|||You have already passed this exam||
1006|826|1|510410676|NM|P||-1|||You have already passed this exam||
1006|826|1|510417874|NM|P||-1|||You have already passed this exam||
1006|826|1|510421641|NM|P||-1|||You have already passed this exam||
1006|826|1|510425374|NM|P||-1|||You have already passed this exam||
1006|826|1|510427959|NM|P||-1|||You have already passed this exam||
1006|826|1|510428227|NM|P||-1|||You have already passed this exam||
1006|826|1|510432857|NM|P||-1|||You have already passed this exam||
1006|826|1|510442105|NM|P||-1|||You have already passed this exam||
1006|826|1|510454127|NM|P||-1|||You have already passed this exam||
1006|826|1|510462394|NM|P||-1|||You have already passed this exam||
1006|826|1|510466641|NM|P||-1|||You have already passed this exam||
1006|826|1|510467565|NM|P||-1|||You have already passed this exam||
1006|826|1|510472594|NM|P||-1|||You have already passed this exam||
1006|826|1|510476766|NM|P||-1|||You have already passed this exam||
1006|826|1|510481507|NM|P||-1|||You have already passed this exam||
1006|826|1|510482420|NM|P||-1|||You have already passed this exam||
1006|826|1|510491904|O|P||-1|||You have already passed this exam||
1006|826|1|510506558|NM|P||-1|||You have already passed this exam||
1006|826|1|510507570|NM|P||-1|||You have already passed this exam||
1006|826|1|510522080|NM|P||-1|||You have already passed this exam||
1006|826|1|510534471|NM|P||-1|||You have already passed this exam||
1006|826|1|510544393|NM|P||-1|||You have already passed this exam||
1006|826|1|510550949|NM|P||-1|||You have already passed this exam||
1006|826|1|7258237|NM|P||-1|||You have already passed this exam||
