EXAM CD|ELG PRD|PRT NO|MEMBER NO|MEMBER TYP|P/F/V/B|APP CAT|FEES|ELECT SUB|MED_CD|REMARK|SUB CD|
507|123|1|100002311|O|P||-1|||You have already passed this exam||
507|123|1|100026046|O|P||-1|||You have already passed this exam||
507|123|1|100028283|O|P||-1|||You have already passed this exam||
507|123|1|100038735|O|P||-1|||You have already passed this exam||
507|123|1|100040475|O|P||-1|||You have already passed this exam||
507|123|1|100050810|O|P||-1|||You have already passed this exam||
507|123|1|100068304|O|P||-1|||You have already passed this exam||
507|123|1|100069203|O|P||-1|||You have already passed this exam||
507|123|1|100077368|O|P||-1|||You have already passed this exam||
507|123|1|100080695|O|P||-1|||You have already passed this exam||
507|123|1|100083721|O|P||-1|||You have already passed this exam||
507|123|1|100084246|O|P||-1|||You have already passed this exam||
507|123|1|100090225|O|P||-1|||You have already passed this exam||
507|123|1|100091429|O|P||-1|||You have already passed this exam||
507|123|1|100093737|O|P||-1|||You have already passed this exam||
507|123|1|100096819|O|P||-1|||You have already passed this exam||
507|123|1|200011977|O|P||-1|||You have already passed this exam||
507|123|1|200014745|O|P||-1|||You have already passed this exam||
507|123|1|200040807|O|P||-1|||You have already passed this exam||
507|123|1|200043326|O|P||-1|||You have already passed this exam||
507|123|1|200044566|O|P||-1|||You have already passed this exam||
507|123|1|200047058|O|P||-1|||You have already passed this exam||
507|123|1|200062921|O|P||-1|||You have already passed this exam||
507|123|1|200069181|O|P||-1|||You have already passed this exam||
507|123|1|200074494|O|P||-1|||You have already passed this exam||
507|123|1|200089192|O|P||-1|||You have already passed this exam||
507|123|1|200090219|O|P||-1|||You have already passed this exam||
507|123|1|300012547|O|P||-1|||You have already passed this exam||
507|123|1|300012681|A|P||-1|||You have already passed this exam||
507|123|1|300014944|O|P||-1|||You have already passed this exam||
507|123|1|300019978|O|P||-1|||You have already passed this exam||
507|123|1|300029974|O|P||-1|||You have already passed this exam||
507|123|1|3296731|O|P||-1|||You have already passed this exam||
507|123|1|3394901|O|P||-1|||You have already passed this exam||
507|123|1|3627898|O|P||-1|||You have already passed this exam||
507|123|1|3671063|O|P||-1|||You have already passed this exam||
507|123|1|3821901|O|P||-1|||You have already passed this exam||
507|123|1|3852050|O|P||-1|||You have already passed this exam||
507|123|1|3860374|O|P||-1|||You have already passed this exam||
507|123|1|3944349|O|P||-1|||You have already passed this exam||
507|123|1|400006490|O|P||-1|||You have already passed this exam||
507|123|1|400010330|O|P||-1|||You have already passed this exam||
507|123|1|400011453|O|P||-1|||You have already passed this exam||
507|123|1|400011856|O|P||-1|||You have already passed this exam||
507|123|1|400019809|O|P||-1|||You have already passed this exam||
507|123|1|400043493|O|P||-1|||You have already passed this exam||
507|123|1|400053622|O|P||-1|||You have already passed this exam||
507|123|1|400054817|O|P||-1|||You have already passed this exam||
507|123|1|400061295|O|P||-1|||You have already passed this exam||
507|123|1|400063754|O|P||-1|||You have already passed this exam||
507|123|1|400076171|O|P||-1|||You have already passed this exam||
507|123|1|400076583|O|P||-1|||You have already passed this exam||
507|123|1|400102843|O|P||-1|||You have already passed this exam||
507|123|1|400116455|O|P||-1|||You have already passed this exam||
507|123|1|400120592|O|P||-1|||You have already passed this exam||
507|123|1|4198636|O|P||-1|||You have already passed this exam||
507|123|1|4210884|O|P||-1|||You have already passed this exam||
507|123|1|4249341|O|P||-1|||You have already passed this exam||
507|123|1|4576686|O|P||-1|||You have already passed this exam||
507|123|1|4626302|O|P||-1|||You have already passed this exam||
507|123|1|4671040|O|P||-1|||You have already passed this exam||
507|123|1|4725759|O|P||-1|||You have already passed this exam||
507|123|1|4746221|O|P||-1|||You have already passed this exam||
507|123|1|4795646|O|P||-1|||You have already passed this exam||
507|123|1|4963008|O|P||-1|||You have already passed this exam||
507|123|1|500000295|O|P||-1|||You have already passed this exam||
507|123|1|500001379|O|P||-1|||You have already passed this exam||
507|123|1|500001631|O|P||-1|||You have already passed this exam||
507|123|1|500002046|O|P||-1|||You have already passed this exam||
507|123|1|500002582|O|P||-1|||You have already passed this exam||
507|123|1|500006982|O|P||-1|||You have already passed this exam||
507|123|1|500007913|O|P||-1|||You have already passed this exam||
507|123|1|500009665|O|P||-1|||You have already passed this exam||
507|123|1|500015691|O|P||-1|||You have already passed this exam||
507|123|1|500016532|O|P||-1|||You have already passed this exam||
507|123|1|500016810|O|P||-1|||You have already passed this exam||
507|123|1|500017794|O|P||-1|||You have already passed this exam||
507|123|1|500019387|O|P||-1|||You have already passed this exam||
507|123|1|500019683|O|P||-1|||You have already passed this exam||
507|123|1|500020254|O|P||-1|||You have already passed this exam||
507|123|1|500023296|O|P||-1|||You have already passed this exam||
507|123|1|500025247|O|P||-1|||You have already passed this exam||
507|123|1|500027123|O|P||-1|||You have already passed this exam||
507|123|1|500027181|O|P||-1|||You have already passed this exam||
507|123|1|500029110|O|P||-1|||You have already passed this exam||
507|123|1|500029250|O|P||-1|||You have already passed this exam||
507|123|1|500032120|O|P||-1|||You have already passed this exam||
507|123|1|500032532|O|P||-1|||You have already passed this exam||
507|123|1|500033072|O|P||-1|||You have already passed this exam||
507|123|1|500034857|O|P||-1|||You have already passed this exam||
507|123|1|500035357|O|P||-1|||You have already passed this exam||
507|123|1|500035547|O|P||-1|||You have already passed this exam||
507|123|1|500035940|O|P||-1|||You have already passed this exam||
507|123|1|500036100|O|P||-1|||You have already passed this exam||
507|123|1|500037210|O|P||-1|||You have already passed this exam||
507|123|1|500038554|O|P||-1|||You have already passed this exam||
507|123|1|500038560|O|P||-1|||You have already passed this exam||
507|123|1|500038587|O|P||-1|||You have already passed this exam||
507|123|1|500039145|O|P||-1|||You have already passed this exam||
507|123|1|500040383|O|P||-1|||You have already passed this exam||
507|123|1|500041836|O|P||-1|||You have already passed this exam||
507|123|1|500042453|O|P||-1|||You have already passed this exam||
507|123|1|500042525|O|P||-1|||You have already passed this exam||
507|123|1|500044360|O|P||-1|||You have already passed this exam||
507|123|1|500046523|O|P||-1|||You have already passed this exam||
507|123|1|500046698|O|P||-1|||You have already passed this exam||
507|123|1|500050679|O|P||-1|||You have already passed this exam||
507|123|1|500051417|O|P||-1|||You have already passed this exam||
507|123|1|500052983|O|P||-1|||You have already passed this exam||
507|123|1|500053261|O|P||-1|||You have already passed this exam||
507|123|1|500053454|O|P||-1|||You have already passed this exam||
507|123|1|500054633|O|P||-1|||You have already passed this exam||
507|123|1|500055107|O|P||-1|||You have already passed this exam||
507|123|1|500055630|O|P||-1|||You have already passed this exam||
507|123|1|500055992|O|P||-1|||You have already passed this exam||
507|123|1|500056305|O|P||-1|||You have already passed this exam||
507|123|1|500056388|O|P||-1|||You have already passed this exam||
507|123|1|500057607|O|P||-1|||You have already passed this exam||
507|123|1|500057631|O|P||-1|||You have already passed this exam||
507|123|1|500057704|O|P||-1|||You have already passed this exam||
507|123|1|500058371|O|P||-1|||You have already passed this exam||
507|123|1|500058997|O|P||-1|||You have already passed this exam||
507|123|1|500060285|O|P||-1|||You have already passed this exam||
507|123|1|500062290|O|P||-1|||You have already passed this exam||
507|123|1|500062586|O|P||-1|||You have already passed this exam||
507|123|1|500064470|O|P||-1|||You have already passed this exam||
507|123|1|500066300|O|P||-1|||You have already passed this exam||
507|123|1|500067995|O|P||-1|||You have already passed this exam||
507|123|1|500071960|O|P||-1|||You have already passed this exam||
507|123|1|500072209|O|P||-1|||You have already passed this exam||
507|123|1|500076704|O|P||-1|||You have already passed this exam||
507|123|1|500078290|O|P||-1|||You have already passed this exam||
507|123|1|500081406|O|P||-1|||You have already passed this exam||
507|123|1|500082481|O|P||-1|||You have already passed this exam||
507|123|1|500082989|O|P||-1|||You have already passed this exam||
507|123|1|500086060|O|P||-1|||You have already passed this exam||
507|123|1|500087721|O|P||-1|||You have already passed this exam||
507|123|1|500087988|O|P||-1|||You have already passed this exam||
507|123|1|500089355|O|P||-1|||You have already passed this exam||
507|123|1|500092465|O|P||-1|||You have already passed this exam||
507|123|1|500096419|O|P||-1|||You have already passed this exam||
507|123|1|500096588|O|P||-1|||You have already passed this exam||
507|123|1|500097264|O|P||-1|||You have already passed this exam||
507|123|1|500098212|O|P||-1|||You have already passed this exam||
507|123|1|500101156|O|P||-1|||You have already passed this exam||
