EXAM CD|ELG PRD|PRT NO|MEMBER NO|MEMBER TYP|P/F/V/B|APP CAT|FEES|ELECT SUB|MED_CD|REMARK|SUB CD|
508|123|1|100003981|O|P||-1|||You have already passed this exam||
508|123|1|100010108|O|P||-1|||You have already passed this exam||
508|123|1|100012274|O|P||-1|||You have already passed this exam||
508|123|1|100015051|O|P||-1|||You have already passed this exam||
508|123|1|100015347|O|P||-1|||You have already passed this exam||
508|123|1|100019364|O|P||-1|||You have already passed this exam||
508|123|1|100024669|O|P||-1|||You have already passed this exam||
508|123|1|100040475|O|P||-1|||You have already passed this exam||
508|123|1|100042012|O|P||-1|||You have already passed this exam||
508|123|1|100050444|O|P||-1|||You have already passed this exam||
508|123|1|100062418|O|P||-1|||You have already passed this exam||
508|123|1|100081271|O|P||-1|||You have already passed this exam||
508|123|1|100090225|O|P||-1|||You have already passed this exam||
508|123|1|100093595|O|P||-1|||You have already passed this exam||
508|123|1|100093755|O|P||-1|||You have already passed this exam||
508|123|1|100097011|O|P||-1|||You have already passed this exam||
508|123|1|100098564|O|P||-1|||You have already passed this exam||
508|123|1|100099768|O|P||-1|||You have already passed this exam||
508|123|1|200000267|O|P||-1|||You have already passed this exam||
508|123|1|200011977|O|P||-1|||You have already passed this exam||
508|123|1|200016543|O|P||-1|||You have already passed this exam||
508|123|1|200020822|O|P||-1|||You have already passed this exam||
508|123|1|200037786|O|P||-1|||You have already passed this exam||
508|123|1|200040807|O|P||-1|||You have already passed this exam||
508|123|1|200044566|O|P||-1|||You have already passed this exam||
508|123|1|200047399|O|P||-1|||You have already passed this exam||
508|123|1|200059406|O|P||-1|||You have already passed this exam||
508|123|1|200063740|O|P||-1|||You have already passed this exam||
508|123|1|200069242|O|P||-1|||You have already passed this exam||
508|123|1|200079605|O|P||-1|||You have already passed this exam||
508|123|1|200088918|O|P||-1|||You have already passed this exam||
508|123|1|300012547|O|P||-1|||You have already passed this exam||
508|123|1|300012681|F|P||-1|||You have already passed this exam||
508|123|1|300034268|O|P||-1|||You have already passed this exam||
508|123|1|300034938|O|P||-1|||You have already passed this exam||
508|123|1|300035102|O|P||-1|||You have already passed this exam||
508|123|1|3334644|O|P||-1|||You have already passed this exam||
508|123|1|3398187|O|P||-1|||You have already passed this exam||
508|123|1|3462976|O|P||-1|||You have already passed this exam||
508|123|1|3466198|O|P||-1|||You have already passed this exam||
508|123|1|3676490|O|P||-1|||You have already passed this exam||
508|123|1|3782204|O|P||-1|||You have already passed this exam||
508|123|1|3811997|O|P||-1|||You have already passed this exam||
508|123|1|3814308|O|P||-1|||You have already passed this exam||
508|123|1|3823094|O|P||-1|||You have already passed this exam||
508|123|1|400004691|O|P||-1|||You have already passed this exam||
508|123|1|400015551|O|P||-1|||You have already passed this exam||
508|123|1|400021718|O|P||-1|||You have already passed this exam||
508|123|1|400028586|O|P||-1|||You have already passed this exam||
